local_name,english_name,language,countries,regions,time_of_day,type_of_dish,type_of_dish_more,drink,occasions,occasions_more
Biteko teko,Amarante,Lingala,Democratic Republic of the Congo,"katanga, kinshasa, lualaba (congo-kinshasa)","['breakfast', 'lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,regular,NULL
"Mbizo, mayebo na mbisi ya ko kawuka",Trois Pièces,Lingala,Democratic Republic of the Congo,province du Kwilu,"['breakfast', 'lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Biloko ya kati ya ngombe (pepe supu),Bouillon des abats de boeuf,Lingala,Democratic Republic of the Congo,"Kassaï oriental et occidental, kinshasa, katanga, lualaba(congo-kinshasa)",['anytime'],"['Soup', 'Sauce']",NULL,beer,regular,NULL
Ngai ngai na tomson,Oseille avec poisson chinchard,Lingala,Democratic Republic of the Congo,"katanga, kinshasa, equateur(congo-kinshasa)","['breakfast', 'lunch']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,both,NULL
Soso ya makasi ya tomate,Poulet dur à la Sauce Tomate,Lingala,Democratic Republic of the Congo,"katanga,kinshasa, lualaba, lomami, goma, bas-congo(congo-kinshasa)","['breakfast', 'lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Ntaba mayo,Côte de chèvre à la Mayonnaise,Lingala,Democratic Republic of the Congo,"katanga, goma, lomami, kinshasa(congo-kinshasa)","['lunch', 'dinner']","['Starter', 'Main dish - stand alone (e.g. one pot meal)']",NULL,NULL,special,NULL
Soso ya mbika ya boule,Poulet aux boulettes de graines de courge,Lingala,Democratic Republic of the Congo,"haut-katanga, kinshasa,Bas-Congo, Haut-Congo, Bandundu","['breakfast', 'lunch', 'dinner']","['Starter', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Kamundele,Brochettes de boeuf,Lingala,Democratic Republic of the Congo,"katanga,goma, kinshasa(congo-kinshasa)","['lunch', 'dinner']","['Starter', 'Main dish - stand alone (e.g. one pot meal)']",NULL,NULL,both,wedding
Mikila ya ngombe ya tomate na ayi,Queue de boeuf à la tomate et ail,Lingala,Democratic Republic of the Congo,"katanga, kinshasa, goma(congo-kinshasa)","['breakfast', 'lunch', 'dinner']","['Starter', 'Main dish - eaten with sides']",NULL,NULL,both,NULL
Mabumu na rognon ya ngombe ya tomate,Tripe de Boeuf et Rognon à La Tomate,Lingala,Democratic Republic of the Congo,"katanga, kinshasa(congo-kinshasa)",['anytime'],"['Soup', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,both,NULL
Loso ya bulayi,Riz Jollof Congolaise,Lingala,Democratic Republic of the Congo,Katanga(congo-kinshasa),"['breakfast', 'lunch', 'dinner']","['Starter', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Mpiodi ya Tomate,Poisson chinchard à la sauce tomate bloquée,Lingala,Democratic Republic of the Congo,kinshasa(congo-kinshasa),['breakfast'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Mpiodi ba ntumba,Poisson chinchard braisé,Lingala,Democratic Republic of the Congo,kinshasa(congo-kinshasa),"['breakfast', 'lunch']",['Other'],NULL,NULL,both,NULL
Madesu ya pembe ba tia makoso,Ragoût d'Haricot Blanc au pied de porc,Lingala,"Democratic Republic of the Congo, Gabon","kinshasa, gabon (congo-kinshasa)","['breakfast', 'lunch']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,both,NULL
Sauce piquante africaine pili-pili,NULL,Lingala,"Democratic Republic of the Congo, Republic of the Congo","kinshasa, goma","['breakfast', 'lunch']",['Main dish - eaten with sides'],NULL,NULL,both,NULL
Madesu ya pembe ba tia makoso,Ragoût d'Haricot Blanc au pied de porc,Lingala,"Democratic Republic of the Congo, Republic of the Congo","kinshasa, brazzaville(congo-kinshasa)","['breakfast', 'lunch', 'dinner']","['Starter', 'Main dish - stand alone (e.g. one pot meal)']",NULL,NULL,regular,NULL
Matembele na mbisi piodi,Ragoût de Feuilles de Patate Douce avec poisson chinchard,Lingala,"Democratic Republic of the Congo, Republic of the Congo, Mali","kinshasa, katanga","['breakfast', 'lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,both,NULL
Stjerneskud,Shooting Star,Danish,Denmark,NULL,['lunch'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
قمر الدين,Qamar Al-Deen,Arabic,Egypt,All Regions,"['snack', 'other']","['Dessert', 'Other']",NULL,yes,special,In Ramadan
زلابيه,Zalabia,Arabic,Egypt,All Regions,"['snack', 'anytime']",['Dessert'],NULL,No,regular,NULL
قطايف,Qatayef,Arabic,Egypt,All Regions,"['snack', 'anytime']",['Dessert'],NULL,No,special,In Ramadan after Iftar
غريبه,Ghraybeh,Arabic,Egypt,All Regions,['snack'],['Dessert'],NULL,No,special,On Eid Al-Fetr
كنافه,"Kunafa/,knafeh",Arabic,"Egypt, Jordan, Lebanon, Palestine, Sudan, Syrian Arab Republic",All Regions,"['snack', 'other']",['Dessert'],NULL,No,special,In Ramadan after Iftar
فول مدمس,Ful Medames,Arabic,Egypt,All Regions,['breakfast'],"['Side dish', 'Main dish - eaten with sides']",NULL,No,regular,NULL
فلافل,Falafel,Arabic,Egypt,All Regions,['breakfast'],['Main dish - eaten with sides'],NULL,No,regular,NULL
فطير مشلتت,Fiteer Meshaltet,Arabic,Egypt,All Regions,"['breakfast', 'snack', 'anytime']","['Starter', 'Side dish', 'Dessert']",NULL,No,regular,NULL
كوارع,Kwaree,Arabic,Egypt,NULL,"['lunch', 'dinner']","['Starter', 'Soup', 'Side dish']",NULL,No,both,Eid Al-Adha
ام علي,Um ali,Arabic,Egypt,NULL,['snack'],['Dessert'],NULL,NULL,both,NULL
كحك,kahk /Kaak el eid,Arabic,"Egypt, Sudan",NULL,"['breakfast', 'snack', 'anytime']",['Dessert'],NULL,"black tea , coffee",special,eid al-fitr
ممبار,mombar,Arabic,Egypt,NULL,['dinner'],"['Side dish', 'Main dish - eaten with sides']",NULL,no,regular,NULL
محشي,mahshi,Arabic,"Egypt, Sudan",NULL,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,no,both,NULL
كشري,Koshary,Arabic,Egypt,All Regions,"['lunch', 'dinner', 'anytime']","['Soup', 'Side dish']",NULL,"Water, Juice",regular,NULL
ملوخية,Molokhia,Arabic,Egypt,Egypt,['lunch'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
حمام محشي (فريك/ ارز),Hamam Mahshy ( Frek or Rice),Arabic,Egypt,NULL,['lunch'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,both,NULL
بسبوسة,Basbousa,Arabic,"Egypt, Jordan, Lebanon, Palestine, Sudan",All Regions,['anytime'],['Dessert'],NULL,"Tea, coffee, juice",both,Ramadan
ملوخية بالأرز,Rice with mulukhiyah sauce,Arabic,"Egypt, Sudan",North,['lunch'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
بيض بصوص الطماطم والنقانق,Eggs with tomatoes sauce and sausage,Arabic,"Egypt, Sudan, Türkiye",NULL,['breakfast'],"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,Tea,regular,NULL
Slap Tjips,Fries; Chips,Afrikaans,England,NULL,"['lunch', 'dinner', 'snack']","['Side dish', 'Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
Toad in the hole,NULL,English,England,"Northern England - Yorkshire, Northumberland","['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,No specific drink,both,Sunday dinner
Poached egg with salmon and holindase sauce,Poached egg with salmon and holindase sauce,English,England,NULL,"['breakfast', 'lunch']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Sunday Roast,NULL,English,England,Yorkshire,['lunch'],['Main dish - eaten with sides'],NULL,NULL,both,"This is typically reserved for Sundays, and grander versions might be eaten at Christmas"
Tarte Flambee,NULL,French,France,Alsace,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,Wine,both,NULL
bœuf bourguignon,beef Burgundy,French,France,Bourgogne,['dinner'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Frog legs,NULL,English,"France, United States of America (USA)","US--the south; France--national, but from Dombes in particular","['lunch', 'dinner', 'snack']","['Starter', 'Soup', 'Side dish', 'Main dish - eaten with sides', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
Toast Hawaii,NULL,German,Germany,NULL,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Angwa moo,Braised rice,Akan,Ghana,Southern Ghana,['anytime'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Mpotompoto,Yam porridge or casserole,Akan,Ghana,Southern Ghana,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Kontomire stew,NULL,Akan,Ghana,Southern Regions,"['lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
Yoroyoro,Yoroyoro,Dagbani,Ghana,Northern region,['lunch'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Wasawasa,Wasawasa,Dagbani,Ghana,Northern Region,['anytime'],['Main dish - eaten with sides'],"Served with vegetables, spicy sauce, oil and proteins",NULL,regular,NULL
Abolo,Rice cakes,Ewe,Ghana,Volta Region,"['breakfast', 'lunch', 'dinner', 'snack', 'anytime']","['Starter', 'Side dish', 'Main dish - eaten with sides', 'Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection', 'Dessert']",NULL,NULL,regular,NULL
"Banku, fetre detsi, apka","Banku, okro soup, fish",Ewe,Ghana,Volta Region,"['lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']","Banku is not a standalone dish as it is always accompanied by a sauce, fetre detsi and some protein, akpa",No,regular,NULL
Omu Tuo,Rice ball,Hausa,Ghana,Akan,['anytime'],['Main dish - eaten with sides'],It is eaten with palm nut or groundnut (peanut butter) soup,NULL,regular,NULL
Konkonte,Face The Wall/Brown fufu,Hausa,Ghana,"Southern Ghana, Northern Ghana","['lunch', 'dinner', 'anytime']",['Main dish - eaten with sides'],Served as a swallow dish with soup,NULL,regular,NULL
waakye,rice and beans,Hausa,Ghana,Northern regions,"['breakfast', 'lunch', 'dinner']","['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Koose,Bean cakes,Hausa,Ghana,Northern,"['breakfast', 'snack']",['Side dish'],NULL,Hausa koko,regular,NULL
Tuo Zaafi,Tuo Zaafi (TZ),Hausa,Ghana,Northern part of Ghana,['dinner'],['Main dish - eaten with sides'],NULL,NULL,regular,When inlaws visit or older people visit.
Hausa koko,Hausa poridge,Hausa,Ghana,Northern Region,['breakfast'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Fufu,NULL,Tei,Ghana,Ashanti Region; Volta Region,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Steamed Beans Paste,Tintaare,Tintaarɛ,Ghana,Upper East Region,['lunch'],['Main dish - stand alone (e.g. one pot meal)'],NULL,Water,both,When visitors come around and at social gatherings.
Tubani,Steamed Beans pudding,Twi,Ghana,Northern part of Ghana,['lunch'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,both,"Social gatherings, For visitors and social gatherings."
Ampesi,Boiled plantain,Twi,Ghana,Southern Regions,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Abe nkwan,Palmnut soup,Twi,Ghana,NULL,"['lunch', 'dinner']",['Soup'],NULL,No,regular,NULL
Nkatenkwan,Groundnut soup or peanut butter soup,Twi,Ghana,NULL,"['lunch', 'dinner']",['Soup'],NULL,No,regular,NULL
Bubble waffle,Bubble waffle,Chinese,Hong Kong,NULL,"['snack', 'other']",['Dessert'],NULL,NULL,both,NULL
Lau Chingri,Bottle gourd with shrimp,Bengali,India,West Bengal,['lunch'],['Main dish - eaten with sides'],Dry curry eaten with rice,No,regular,NULL
Chilli Cheese Toast,Chilli Cheese Toast,English,India,NULL,['snack'],"['Starter', 'Side dish']",NULL,NULL,regular,NULL
Dhokra or Dhokla,NULL,Gujarati,India,Gujarat,['breakfast'],"['Starter', 'Side dish', 'Small plate / bowl for sharing']",NULL,No,regular,NULL
लिट्टी चोखा,Litti Chokha,Hindi,India,"Bihar, Uttar Pradesh","['breakfast', 'lunch', 'dinner', 'snack', 'anytime']",['Main dish - stand alone (e.g. one pot meal)'],NULL,None,regular,NULL
Boondi Raita,Boondi salad,Hindi,India,NULL,['anytime'],['Side dish'],NULL,NULL,regular,NULL
Moong Dhal Namkeen,NULL,Hindi,India,NULL,['snack'],"['Small plate / bowl for sharing', 'Other']",NULL,NULL,regular,NULL
Nimbu Sanai,NULL,Kumaoni,India,Uttarakhand (Kumaun Region),['snack'],"['Salad', 'Side dish']",NULL,no,special,Seasonal
പത്തിരി,Pathiri,Malayalam,India,Kerala,['anytime'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
custard powder ice cream,custard powder ice cream,Malayalam,India,NULL,['snack'],['Dessert'],NULL,NULL,regular,NULL
ഇളനീർ പുഡ്ഡിംഗ്,Tender Coconut Pudding,Malayalam,India,NULL,['snack'],['Dessert'],NULL,NULL,regular,NULL
മത്തങ്ങ പുളിങ്കരി,tangy pumpkin curry,Malayalam,India,NULL,['lunch'],['Side dish'],NULL,NULL,regular,NULL
സംഭാരം,spiced buttermilk,Malayalam,India,NULL,['anytime'],['Other'],refreshment,NULL,regular,Summer
ബീറ്റ്റൂട്ട് പച്ചടി,beetroot curry,Malayalam,India,keralam,['lunch'],['Side dish'],NULL,NULL,regular,NULL
വരൂത മീൻ,fish fry,Malayalam,India,NULL,"['lunch', 'dinner']","['Side dish', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
നെയ്യ് ചോറ്,ghee rice,Malayalam,India,NULL,['lunch'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
കള്ളപ്പം,kallappam,Malayalam,India,South India,['breakfast'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
ദോശ,dosa,Malayalam,India,South India,['breakfast'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
Appam,NULL,Malayalam,India,NULL,['breakfast'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
വട്ടയപ്പം,Steamed Rice flour cake,Malayalam,India,South India,"['breakfast', 'snack']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,both,Easter
കൊഴുക്കട്ട,Coconut Jaggery Dumpling,Malayalam,India,NULL,"['breakfast', 'snack']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
egg scramble,egg scramble,Malayalam,India,NULL,"['lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
മത്തങ്ങ  എരിശ്ശേരി,pumpkin coconut curry,Malayalam,India,NULL,['lunch'],['Side dish'],NULL,NULL,regular,NULL
കൂർക്ക മെഴുക്കുപുരട്ടി,country potato fry,Malayalam,India,NULL,['lunch'],['Side dish'],NULL,NULL,regular,NULL
പാവക്ക കൊണ്ടാട്ടം,Sun Dried Bitter Gourd fries,Malayalam,India,NULL,"['lunch', 'dinner', 'snack']","['Side dish', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
തൈരു മുളകു വറുത്തതു,sun dried curd cured greenchilli fry,Malayalam,India,NULL,['lunch'],"['Side dish', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
കാന്താരി മുളകു ഇടിച്ചത്,Bird’s Eye Chilli  chutney,Malayalam,India,NULL,"['breakfast', 'lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
വാഴക്കൂമ്പ് തോരൻ,Banana flower stir fry,Malayalam,India,NULL,['lunch'],['Side dish'],NULL,NULL,regular,NULL
ഇടിച്ചക്ക തോരൻ,tender jack fruit stir fry,Malayalam,India,South India,['lunch'],['Side dish'],NULL,NULL,special,Jackfruit season
മുരിങ്ങയില തോരൻ,drumstick leaves fry,Malayalam,India,NULL,['lunch'],['Side dish'],NULL,NULL,regular,NULL
ചക്കക്കുരു തോരൻ,Jackfruit seed stir fry,Malayalam,India,South India,['lunch'],['Side dish'],with rice,NULL,special,Jackfruit season
ചക്കക്കുരു പോള തോരൻ,jackfruit seed cover stir fry,Malayalam,India,Kerala,['lunch'],['Side dish'],NULL,NULL,special,jackfruit season
സോഡാ നാരങ്ങ വെള്ളം,carbonated lemonade,Malayalam,India,NULL,['anytime'],['Other'],Refreshment,NULL,regular,NULL
ഏത്തക്ക മെഴുക്കുപുരട്ടി,Pantain stir fry,Malayalam,India,South India,['lunch'],['Side dish'],NULL,NULL,regular,NULL
കടല മിട്ടായി,Sweet groundnut bites,Malayalam,India,NULL,['snack'],['Dessert'],NULL,NULL,regular,NULL
Semiya payasam,sweet vermicelli,Malayalam,India,NULL,"['lunch', 'dinner']",['Dessert'],NULL,NULL,regular,NULL
Rava Payasam,Sweet semolina,Malayalam,India,South India,"['breakfast', 'lunch']",['Dessert'],NULL,NULL,regular,NULL
പപ്പായ തോരൻ,Pappaya stir fry,Malayalam,India,South India,['lunch'],['Side dish'],NULL,NULL,regular,NULL
carrot beans thoran,NULL,Malayalam,India,NULL,['lunch'],['Side dish'],NULL,NULL,regular,NULL
ചെറുപയർ പുഴുങ്ങിയത്,green lentils curry,Malayalam,India,NULL,['lunch'],"['Side dish', 'Main dish - stand alone (e.g. one pot meal)']",NULL,NULL,regular,NULL
ചേമ്പ് പുഴുങ്ങിയ,Boiled Colocasia,Malayalam,India,South India,['breakfast'],['Main dish - eaten with sides'],served with chilli chutney,NULL,regular,coclacsia season
ചേന പുഴുങ്ങിയത്,boiled elephant yam,Malayalam,India,South India,"['breakfast', 'anytime']",['Main dish - eaten with sides'],NULL,NULL,regular,During Yam season
kappa puzhigiyathu,boiled tapioca,Malayalam,India,South India,"['breakfast', 'anytime']",['Main dish - eaten with sides'],Often eastedn with chilli chutney,NULL,regular,NULL
thenga chammanthi,Coconut Chutney,Malayalam,India,South India,['anytime'],['Side dish'],NULL,NULL,regular,NULL
Moru curry/pulissery,Seasoned butter milk,Malayalam,India,South India,['lunch'],['Side dish'],NULL,NULL,regular,NULL
Kadachakka thoran,spicy breadfruit stir fry,Malayalam,India,Kerala,['lunch'],['Side dish'],NULL,NULL,special,summers - availability of the breadfruit
Mambazha Pulissery,Kerala Style Ripe Mango Curry,Malayalam,India,Keralam,['lunch'],['Side dish'],NULL,NULL,special,based on the availability of mangoes
Neyyappam,NULL,Malayalam,India,Kerala,"['snack', 'anytime']","['Small plate / bowl served as a part of a collection', 'Dessert']",NULL,NULL,both,NULL
Pazham pori (ethakka appam),Plantain fritters,Malayalam,India,Kerala,"['snack', 'anytime']",['Small plate / bowl served as a part of a collection'],NULL,NULL,both,NULL
Beef roast,NULL,Malayalam,India,Kerala,['anytime'],"['Starter', 'Side dish', 'Small plate / bowl for sharing']",NULL,"Wine,  alcohol",both,Christmas
Aviyal,NULL,Malayalam,India,Kerala,['lunch'],['Side dish'],NULL,No,both,Onam
Chakka puzhukku,NULL,Malayalam,India,Kerala,['anytime'],"['Side dish', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides', 'Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,"Coffee, tea",special,Jackfruit season
Karimeen Pollichathu,Not that i know of,Malayalam,India,Kerala,"['lunch', 'dinner']","['Side dish', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,No,both,Pearl spot fish season
Rasam,tangy tomato soup,"Malayalam, Tamil, Kannada",India,South India,['lunch'],['Side dish'],NULL,NULL,regular,NULL
Pakhala,Cooked rice lightly fermented in water,Oriya,India,"Odisha, Orissa",['lunch'],['Main dish - eaten with sides'],NULL,NULL,regular,NULL
boondi masala,boondi masala,Telugu,India,Andra pradesh,['lunch'],['Side dish'],NULL,NULL,regular,NULL
Maru Bhajia,Potato bhajia,Hindi,"India, Kenya","Coast, Indian-Kenyans",['anytime'],"['Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
Tempeh mendoan,NULL,Bahasa Indonesia,Indonesia,Purwokerto,"['lunch', 'dinner', 'snack', 'anytime']","['Side dish', 'Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
Tempeh goreng,NULL,Bahasa Indonesia,Indonesia,"Central Java, East Java","['lunch', 'dinner', 'snack', 'anytime']","['Side dish', 'Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
Tumis Buncis,NULL,Bahasa Indonesia,Indonesia,NULL,"['lunch', 'dinner']","['Salad', 'Side dish', 'Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
Sambal matah,NULL,Bahasa Indonesia,Indonesia,Bali,"['lunch', 'dinner']","['Sauce', 'Side dish', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
Lemper,NULL,Bahasa Indonesia,Indonesia,NULL,['snack'],"['Side dish', 'Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection', 'Other']",NULL,NULL,regular,NULL
Rendang,NULL,Bahasa Indonesia,Indonesia,West Sumatra,"['lunch', 'dinner']","['Side dish', 'Main dish - eaten with sides', 'Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,NULL,both,NULL
Bubur ayam,NULL,Bahasa Indonesia,Indonesia,NULL,['breakfast'],"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
Gurame goreng,NULL,Bahasa Indonesia,Indonesia,West Java,"['lunch', 'dinner']","['Side dish', 'Main dish - eaten with sides', 'Small plate / bowl for sharing']",NULL,NULL,both,NULL
Udang goreng mentega,NULL,Bahasa Indonesia,Indonesia,NULL,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,special,NULL
Ikan bakar; udang bakar; ayam bakar,NULL,Bahasa Indonesia,Indonesia,NULL,"['lunch', 'dinner']","['Side dish', 'Main dish - eaten with sides']",NULL,NULL,both,NULL
Nasi Goreng,NULL,Bahasa Indonesia,Indonesia,NULL,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Nasi Rendang,Rice with Flavorful meet dish,Bahasa Indonesia,Indonesia,Sumatran Minangkabau Region,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Satay,NULL,Bahasa Indonesia,"Indonesia, Malaysia",NULL,['anytime'],"['Side dish', 'Main dish - eaten with sides', 'Small plate / bowl for sharing', 'Small plate / bowl served as a part of a collection']",NULL,NULL,both,NULL
Kaastengel,NULL,"Bahasa Indonesia, Dutch","Indonesia, Netherlands",The Netherlands,['snack'],['Other'],NULL,NULL,both,"Christmas, Eid"
Risotto,NULL,Italian,Italy,Lombardia,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,wine,regular,NULL
Tortellini,NULL,Italian,Italy,Bologna,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,wine,regular,NULL
Tiramisù,Tiramisu,Italian,Italy,Veneto,"['lunch', 'dinner', 'snack']",['Dessert'],NULL,coffee,regular,NULL
Katsudon,no,Japanese,Japan,NULL,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,any drink,regular,NULL
生ゆばのお刺身,Yuba Sashimi,Japanese,Japan,Kyoto,"['lunch', 'dinner', 'snack']","['Side dish', 'Small plate / bowl served as a part of a collection']",NULL,NULL,regular,NULL
切り干し大根の煮物,Simmered dried strips of daikon radish,Japanese,Japan,NULL,"['breakfast', 'lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
すき焼き,Sukiyaki,Japanese,Japan,NULL,"['lunch', 'dinner']",['Main dish - eaten with sides'],NULL,NULL,regular,NULL
おでん,Oden,Japanese,Japan,NULL,"['breakfast', 'lunch', 'dinner']","['Side dish', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
たけのこご飯,Bamboo shoots rice,Japanese,Japan,NULL,"['lunch', 'dinner']","['Side dish', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
五目炊き込みごはん,Gomoku seasoned rice,Japanese,Japan,NULL,"['breakfast', 'lunch', 'dinner']","['Side dish', 'Main dish - stand alone (e.g. one pot meal)']",NULL,NULL,regular,NULL
鳥の照り焼き,Chicken Teriyaki,Japanese,Japan,NULL,"['lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
きんぴらごぼう,Kinpira burdock,Japanese,Japan,NULL,"['breakfast', 'lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
天ぷら,Tempura,Japanese,Japan,NULL,"['lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
肉じゃが,Nikujaga,Japanese,Japan,NULL,"['lunch', 'dinner']","['Side dish', 'Main dish - eaten with sides']",NULL,NULL,regular,NULL
鶏のから揚げ,Chicken Karaage,Japanese,Japan,NULL,"['lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
卵焼き,Tamagoyaki,Japanese,Japan,NULL,"['breakfast', 'lunch', 'dinner']",['Side dish'],NULL,NULL,regular,NULL
しゃぶしゃぶ,Shabu Shabu,Japanese,Japan,NULL,['dinner'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,both,NULL
カツ丼,Pork Katsu donburi,Japanese,Japan,NULL,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
お刺身,Sashimi,Japanese,Japan,NULL,"['lunch', 'dinner']","['Starter', 'Side dish']",NULL,NULL,both,Sashimi is a high end posh dish but is also served as a starter or a side
にぎり寿司,Nigiri-zushi,Japanese,Japan,NULL,['dinner'],"['Side dish', 'Main dish - stand alone (e.g. one pot meal)']",NULL,tea,regular,Sushi is eaten normally but it is a posh dish
天かけそば,Buckwheat noodles with Shrimp tempura,Japanese,Japan,Eastern region of Japan.,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,both,"It’s eaten normally, but also eaten on New Year’s eve to celebrate long age and good health"
親子丼,Oyako-donburi,Japanese,Japan,NULL,"['lunch', 'dinner']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
団子,Dango (rice cake),Japanese,Japan,NULL,['snack'],['Dessert'],NULL,tea,both,It is common to eat dango while seeing cherry blossoms bloom
おにぎり,onigiri (rice ball),Japanese,Japan,NULL,"['lunch', 'snack']",['Main dish - stand alone (e.g. one pot meal)'],NULL,tea,regular,NULL
雑炊,Zousui (porridge),Japanese,Japan,NULL,['anytime'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
ネギトロ丼,Negitoro Donburi (minced tuna and spring unions with rice),Japanese,Japan,NULL,['dinner'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Ashir,NULL,Borana,Kenya,North,['lunch'],['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
Nyir nyir,NULL,"Borana, Rendille",Kenya,Northern Kenya,"['breakfast', 'other']",['Side dish'],NULL,NULL,regular,NULL
qita,NULL,Burji,Kenya,north,"['breakfast', 'snack']",['Main dish - stand alone (e.g. one pot meal)'],NULL,NULL,regular,NULL
